ano,mes,sigla_uf,id_municipio,id_municipio_6,cnae_2_secao,cnae_2_subclasse,cbo_2002,saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,salario_mensal,tipo_empregador,tipo_estabelecimento,tipo_movimentacao,tipo_deficiencia,indicador_trabalho_intermitente,indicador_trabalho_parcial,tamanho_estabelecimento_janeiro,indicador_aprendiz,origem_informacao,indicador_fora_prazo
2020,10,AC,1200401,120040,F,4120400,715505,-1,101,7,,,6,1,,0,1,31,0,0,0,4,0,1,1
2020,10,AC,1200203,120020,G,4712100,848510,-1,101,7,,,6,1,,0,1,31,0,0,0,1,0,1,1
2020,10,AC,1200104,120010,C,1012101,784205,-1,101,7,,,6,1,,0,1,33,0,0,0,7,0,1,1
2020,10,AC,1200401,120040,N,8121400,422105,1,101,7,,,6,1,,0,1,20,0,0,0,9,0,1,1
2020,10,AC,1200385,120038,N,8121400,411005,-1,999,7,,,9,1,,0,1,31,0,9,9,8,0,3,1
2020,10,AC,1200104,120010,C,1012101,517420,-1,101,1,,,1,1,,0,1,31,0,0,0,7,0,1,1
2020,10,AC,1200203,120020,G,4753900,782310,1,999,7,,,1,1,,0,1,10,0,0,0,3,0,2,1
2020,10,AC,1200401,120040,R,9312300,377110,1,101,7,,,1,1,,0,1,20,0,0,0,5,0,1,1
2020,10,AC,1200401,120040,P,8531700,411005,-1,103,7,,,3,1,,0,1,43,0,0,0,7,1,1,1
2020,10,AC,1200401,120040,I,5611203,513505,1,101,7,,,6,1,,0,1,20,0,0,0,4,0,1,1
2020,10,AC,1200401,120040,M,7020400,724115,-1,999,7,,,3,1,,0,1,45,0,0,0,3,0,2,1
2020,10,AC,1200385,120038,F,4120400,715315,1,101,7,,,6,1,,0,4,20,0,0,0,1,0,1,1
2020,10,AC,1200401,120040,F,4120400,715210,-1,101,7,,,6,1,,0,1,43,0,0,0,4,0,1,1
