ano,mes,sigla_uf,id_municipio,id_municipio_6,cnae_2_secao,cnae_2_subclasse,cbo_2002,saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,salario_mensal,tipo_empregador,tipo_estabelecimento,tipo_movimentacao,tipo_deficiencia,indicador_trabalho_intermitente,indicador_trabalho_parcial,tamanho_estabelecimento_janeiro,indicador_aprendiz,origem_informacao,indicador_fora_prazo
2021,10,MS,5003702,500370,C,2330301,141615,1,101,5,,,1,1,,0,1,97,0,0,0,4,0,1,0
2021,10,MS,5007109,500710,G,4711302,517330,-1,101,7,,,3,3,,0,1,31,0,0,0,1,0,1,0
2021,10,MS,5004601,500460,C,1012101,848505,1,101,5,,,3,1,,0,1,97,0,0,0,10,0,1,0
2021,10,MS,5003702,500370,H,4930202,782510,1,101,5,,,3,1,,0,1,97,0,0,9,5,0,1,0
2021,10,MS,5007901,500790,F,4211101,992225,-1,101,5,,,3,1,,0,4,40,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,S,9512600,514225,-1,101,7,,,3,3,,0,1,43,0,0,0,7,0,1,0
2021,10,MS,5001904,500190,Q,8800600,411010,-1,103,7,,,6,3,,0,1,40,0,0,0,7,1,1,0
2021,10,MS,5008305,500830,C,2443100,783210,-1,101,7,,,6,3,,0,1,40,0,0,0,7,0,1,0
2021,10,MS,5002704,500270,G,4722901,411005,-1,101,6,,,2,3,,0,1,31,0,0,0,5,0,1,0
2021,10,MS,5003702,500370,C,1012103,784205,1,101,7,,,3,3,,0,1,97,0,0,0,10,0,1,0
2021,10,MS,5008305,500830,H,4922101,519935,1,101,7,,,1,3,,0,1,97,0,0,0,4,0,1,0
2021,4,MS,5002704,500270,I,5611202,513415,-1,101,6,,,3,3,,0,1,31,0,0,0,5,0,1,0
2021,4,MS,5002704,500270,G,4679699,783105,1,999,5,,,1,1,,0,1,20,0,0,0,5,0,2,0
2021,4,MS,5001003,500100,C,1012101,784205,-1,101,2,,,3,3,,0,1,43,0,0,0,9,0,1,0
2021,4,MS,5003702,500370,P,8599603,317210,-1,101,7,,,1,3,,0,1,31,0,0,0,2,0,1,0
2021,4,MS,5002704,500270,J,6201501,317110,-1,101,9,,,1,3,,0,1,40,0,0,0,7,0,1,0
2021,4,MS,5002209,500220,I,5510801,141510,-1,101,9,,,1,1,,0,1,40,0,0,9,7,0,1,0
2021,4,MS,5002704,500270,N,8219999,521110,-1,101,7,,,3,3,,0,1,40,0,0,0,6,0,1,0
2021,4,MS,5007208,500720,C,1071600,841115,1,101,7,,,3,3,,0,1,20,0,0,0,9,0,1,0
2021,4,MS,5003702,500370,G,4712100,142305,-1,101,7,,,1,1,,0,1,31,0,0,0,3,0,1,0
2021,4,MS,5002704,500270,N,7830200,517410,-1,101,7,,,6,1,,0,1,31,0,0,0,1,0,1,0
2021,4,MS,5002209,500220,R,9329899,221105,-1,101,10,,,3,3,,0,1,43,0,0,0,2,0,1,0
2021,4,MS,5007109,500710,A,161099,772105,1,101,7,,,3,1,,0,1,20,0,0,0,4,0,1,0
2021,4,MS,5002704,500270,N,8121400,514320,-1,101,5,,,6,3,,0,1,40,0,0,0,10,0,1,0
2021,4,MS,5004601,500460,C,1012101,848505,-1,101,5,,,3,3,,0,1,40,0,0,0,10,0,1,0
2021,4,MS,5002704,500270,F,4211101,715140,-1,101,2,,,1,1,,0,1,31,0,0,0,7,0,1,0
2021,4,MS,5002704,500270,E,3701100,862305,-1,101,7,,,3,1,,0,1,31,0,0,0,8,0,1,0
2021,4,MS,5002704,500270,G,4530703,411010,-1,999,8,,,3,1,,0,1,31,0,0,0,3,0,2,0
2021,4,MS,5006002,500600,A,151201,641010,-1,101,7,,,6,1,,0,1,40,0,0,0,3,0,1,0
2021,4,MS,5007109,500710,A,161003,632125,-1,101,7,,,6,1,,0,1,40,0,0,0,5,0,1,0
2021,4,MS,5005707,500570,G,4744001,521110,1,101,9,,,6,3,,0,1,20,0,0,0,4,0,1,0
2021,4,MS,5003702,500370,N,8219999,411005,1,101,7,,,6,3,,0,1,20,0,0,0,7,0,1,0
2021,4,MS,5002704,500270,N,8211300,517420,1,101,7,,,3,1,,0,1,20,0,0,0,7,0,1,0
2021,4,MS,5002704,500270,F,4120400,715210,1,101,7,,,1,1,,0,1,20,0,0,0,4,0,1,0
2021,4,MS,5002704,500270,F,4299599,717020,-1,101,4,,,3,1,,0,1,31,0,0,0,9,0,1,0
2021,4,MS,5002704,500270,G,4711301,421125,1,101,7,,,1,3,,0,1,20,0,0,0,8,0,1,0
2021,4,MS,5007695,500769,C,1012103,414210,-1,101,7,,,1,1,,0,1,31,0,0,0,10,0,1,0
2021,4,MS,5002704,500270,F,4120400,513425,1,999,7,,,1,3,,0,1,10,0,0,0,2,0,2,0
2021,4,MS,5002704,500270,G,4637106,414120,-1,101,7,,,6,1,,0,1,31,0,0,0,5,0,1,0
2021,4,MS,5002704,500270,G,4711302,325205,-1,101,9,,,3,1,,0,1,32,0,0,0,7,0,1,0
2021,4,MS,5002407,500240,F,4399103,717020,1,101,4,,,3,1,,0,4,20,0,0,0,1,0,1,0
2021,4,MS,5002704,500270,Q,8690999,322205,-1,101,7,,,1,3,,0,1,40,0,0,0,9,0,1,0
2021,4,MS,5002209,500220,I,5611203,513505,-1,101,5,,,3,1,,0,1,31,0,0,0,4,0,1,0
2021,4,MS,5003801,500380,C,1931400,782510,1,101,7,,,1,3,,0,1,20,0,0,0,9,0,1,0
2021,4,MS,5002704,500270,S,9602502,322130,1,101,9,,,3,3,,0,1,20,0,0,0,3,0,1,0
2021,4,MS,5002704,500270,N,8121400,514320,-1,101,5,,,6,3,,0,1,31,0,0,0,10,0,1,0
2021,4,MS,5007935,500793,F,4399199,717020,-1,101,4,,,3,1,,0,1,43,0,0,0,4,0,1,0
2021,4,MS,5001904,500190,S,9521500,314115,1,101,7,,,2,1,,0,1,20,0,0,0,2,0,1,0
2021,4,MS,5002704,500270,F,4120400,717020,1,101,5,,,3,1,,0,1,20,0,0,0,3,0,1,0
2021,4,MS,5003702,500370,M,7319002,521110,-1,101,7,,,6,1,,0,1,40,0,0,0,5,0,1,0
2021,4,MS,5002704,500270,H,4930202,782510,1,101,7,,,3,1,,0,1,20,0,0,0,6,0,1,0
2021,4,MS,5001904,500190,H,5229002,782510,1,101,7,,,6,1,,0,1,20,0,0,0,2,0,1,0
2021,4,MS,5007208,500720,G,4731800,521135,-1,101,7,,,1,1,,0,1,31,0,0,0,3,0,1,0
2021,4,MS,5007901,500790,C,1012101,623015,-1,101,6,,,3,1,,0,1,40,0,0,0,10,0,1,0
2021,4,MS,5002704,500270,G,4789004,411005,1,101,9,,,6,3,,0,1,10,0,0,0,4,0,1,0
2021,4,MS,5005608,500560,I,5510801,214010,1,101,9,,,1,1,,0,1,20,0,0,0,5,0,1,0
2021,4,MS,5000203,500020,C,1610201,951105,1,101,7,,,3,1,,0,1,20,0,0,0,5,0,1,0
2021,4,MS,5006606,500660,P,8599601,333105,-1,101,7,,,3,1,,0,1,40,0,0,0,3,0,1,0
2021,4,MS,5008305,500830,J,6190601,732110,1,101,7,,,6,1,,0,1,20,0,0,0,1,0,1,0
2021,4,MS,5007208,500720,F,4292801,766125,-1,101,7,,,3,1,,0,1,31,0,0,0,6,0,1,0
2021,4,MS,5005608,500560,G,4781400,521110,1,101,7,,,6,3,,0,1,20,0,0,0,1,0,1,0
2021,4,MS,5003702,500370,C,1013902,784205,-1,101,4,,,1,1,,0,1,90,0,0,0,7,0,1,0
2021,4,MS,5002704,500270,N,7830200,514305,-1,101,2,,,3,1,,0,1,31,0,0,0,8,0,1,0
2021,4,MS,5004601,500460,C,1012101,848505,-1,101,7,,,3,3,,0,1,40,0,0,0,10,0,1,0
2021,4,MS,5002704,500270,N,7830200,514320,1,101,7,,,6,3,,0,1,20,0,0,0,8,0,1,0
2021,4,MS,5007935,500793,G,4751201,731320,1,101,7,,,1,1,,0,1,20,0,0,0,2,0,1,0
2021,4,MS,5006200,500620,Q,8610102,322205,-1,999,7,,,3,3,,0,1,40,0,0,0,8,0,2,0
2021,4,MS,5003702,500370,F,4313400,782510,-1,101,5,,,6,1,,0,1,31,0,0,0,2,0,1,0
2021,4,MS,5002704,500270,H,4930202,411005,1,101,7,,,3,3,,0,1,20,0,0,0,6,0,1,0
2021,4,MS,5008305,500830,C,1710900,391115,-1,101,7,,,6,1,,0,1,40,0,0,0,9,0,1,0
2021,4,MS,5002704,500270,F,4299599,717020,-1,105,7,,,3,1,,0,1,31,0,0,0,6,0,1,0
2021,4,MS,5002704,500270,Q,8610101,322220,1,101,7,,,6,3,,0,1,20,0,0,0,7,0,1,0
2021,4,MS,5004403,500440,I,5510801,141505,1,101,9,,,6,1,,0,1,20,0,0,0,3,0,1,0
2021,4,MS,5002704,500270,G,4711301,784105,1,101,7,,,1,1,,0,1,20,0,0,0,8,0,1,0
2021,4,MS,5002704,500270,F,4221901,717020,-1,111,4,,,6,1,,0,1,43,0,1,0,1,0,1,0
2021,4,MS,5001003,500100,F,4313400,992210,1,101,8,,,3,1,,0,1,20,0,0,0,4,0,1,0
2021,4,MS,5002704,500270,S,9430800,514325,1,101,7,,,6,1,,0,1,20,0,0,0,4,0,1,0
2021,4,MS,5002704,500270,J,6110803,420135,-1,101,9,,,4,1,,0,1,40,0,0,0,5,0,1,0
2021,4,MS,5002704,500270,M,7112000,413105,-1,101,9,,,1,3,,0,1,31,0,0,0,3,0,1,0
2021,4,MS,5002704,500270,E,3701100,862305,-1,101,5,,,1,1,,0,1,31,0,0,0,8,0,1,0
2021,4,MS,5002704,500270,Q,8690999,411005,1,103,8,,,3,1,,0,1,10,0,0,0,9,1,1,0
