ano,mes,competencia_movimentacao,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_1994,cbo_2002,cnae_1,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr,regiao_metropolitana_mte
2010,4,2009-06,MT,5100409,510040,01,03,02,03,0.0,44,6.0,1,0,,,0,00,62105,621005,01155,0115600,09,43,01,09,25,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2009-07,MT,5102504,510250,01,01,01,04,0.0,44,10.35,1,0,,,0,00,98560,782510,52299,4729699,07,32,01,02,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2009-10,MT,5105606,510560,01,01,02,01,0.0,44,4.65,1,0,,,0,00,98510,333105,80993,8599601,07,26,01,02,23,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2009-12,MT,5103403,510340,02,01,43,01,16.0,22,2.5,-1,1,,,0,00,31125,411010,45217,4120400,06,19,02,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-01,MT,5107602,510760,02,01,04,03,16.0,44,5.65,-1,0,,,0,00,000-1,521110,50105,4511101,09,22,01,02,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-01,MT,5102678,510267,01,01,02,01,0.0,44,6.0,1,0,,,0,00,000-1,377110,92614,9319101,04,21,01,08,21,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-02,MT,5107602,510760,02,01,06,04,3.0,44,5.54,-1,0,,,0,00,000-1,717020,45250,4399102,02,19,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5103403,510340,01,03,02,05,0.0,44,7.15,1,0,,,0,00,000-1,411005,01414,0151201,07,30,01,08,25,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5106372,510637,02,03,04,03,29.0,44,5.5,-1,0,,,0,00,000-1,623110,01414,0151201,05,20,01,02,25,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5101803,510180,01,01,02,01,0.0,44,6.16,1,0,,,0,00,000-1,717020,45217,4120400,07,32,01,09,15,,,,,,, 999,,  99, 999,  99,, 999,99,
