ano,mes,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_2002,cnae_1,cnae_2,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr
2007,6,SP,3554102,355410,01,01,02,09,0.0,44,585.0,1,0,,,0,,991405,000-1,82920,00000-1,04,35,01,02,19,9999,0000,0000,9999,0000,,011,,99,008,99,,051,99
2007,6,SP,3550308,355030,02,01,04,02,2.0,44,655.0,-1,0,,,0,,717020,000-1,42995,00000-1,05,27,01,04,15,0240,0000,0000,0033,0000,,013,,99,001,99,,046,99
2007,6,SP,3510609,351060,02,01,06,04,1.0,44,1100.0,-1,0,,,0,,724315,000-1,25225,00000-1,04,30,01,09,3,9999,0000,0000,9999,0000,,013,,99,001,99,,031,99
2011,2,ES,3200409,320040,02,01,04,05,1.0,44,560.0,-1,0,,,0,00,513435,55247,56201,5620101,05,23,02,04,13,,,,,0000,,999,,99,999,99,,999,99
2011,2,ES,3205309,320530,02,01,04,01,7.0,44,1260.0,-1,0,,,0,00,782510,45225,42111,4211101,05,32,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,2,ES,3205002,320500,01,01,02,05,0.0,44,536.0,1,0,,,0,00,514325,74705,81214,8121400,07,23,01,08,21,,,,,0000,,999,,99,999,99,,999,99
2011,2,ES,3205002,320500,01,01,02,06,0.0,44,800.0,1,0,,,0,00,517420,74705,81214,8121400,07,25,01,08,21,,,,,0000,,999,,99,999,99,,999,99
2011,2,ES,3203908,320390,01,01,02,03,0.0,36,1309.0,1,0,,,0,00,712220,26913,23915,2391503,05,38,01,02, 2,,,,,0000,,999,,99,999,99,,999,99
2012,4,DF,5300108,530010,02,01,06,06,31.0,30,9373.0,-1,0,,,0,00,234520,80322,85325,8532500,09,39,02,02,23,,,,,0001,,999,,99,999,99,,999,99
2012,4,DF,5300108,530010,02,01,06,06,2.0,3,1041.0,-1,0,,,0,00,234520,80322,85325,8532500,09,26,01,02,23,,,,,0001,,999,,99,999,99,,999,99
